ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1136,Sverdlovskaa oblast_,gorodskaa,9,195,72,1176,58,13,28,27,1565,1578,2433,29,1565,29,0,0,2200,16,606,0,Sverdlovskaa oblast_
1137,Sverdlovskaa oblast_,gorodskaa,11,150,86,1013,38,15,19,14,1266,1346,1985,90,1266,90,0,0,1700,10,344,0,Sverdlovskaa oblast_
1138,Sverdlovskaa oblast_,gorodskaa,6,144,55,1004,36,9,20,17,1293,1291,1962,10,1293,10,0,0,1700,12,397,0,Sverdlovskaa oblast_
1139,Sverdlovskaa oblast_,gorodskaa,9,165,105,1270,37,9,14,14,1592,1623,2691,51,1592,51,0,0,2400,20,757,0,Sverdlovskaa oblast_
1140,Sverdlovskaa oblast_,gorodskaa,15,155,84,1250,47,8,18,23,1561,1600,2360,48,1561,48,0,0,2100,9,491,0,Sverdlovskaa oblast_
1142,Sverdlovskaa oblast_,gorodskaa,7,128,55,867,19,10,11,10,1090,1107,1756,27,1091,27,0,0,1600,10,482,0,Sverdlovskaa oblast_
1143,Sverdlovskaa oblast_,gorodskaa,7,78,49,680,13,4,2,16,826,849,1464,26,826,26,0,0,1400,3,548,0,Sverdlovskaa oblast_
1144,Sverdlovskaa oblast_,gorodskaa,5,144,91,913,18,8,8,7,1177,1194,1979,31,1177,31,0,0,1800,14,592,0,Sverdlovskaa oblast_
1145,Sverdlovskaa oblast_,gorodskaa,5,173,84,1150,22,12,10,15,1438,1471,2398,45,1438,45,0,0,2200,12,717,0,Sverdlovskaa oblast_
1146,Sverdlovskaa oblast_,gorodskaa,14,128,58,765,35,3,20,6,1012,1029,1758,22,1012,22,0,0,1600,5,566,0,Sverdlovskaa oblast_
1147,Sverdlovskaa oblast_,gorodskaa,13,187,96,995,31,10,19,15,1353,1366,1966,22,1355,22,0,0,1800,9,423,0,Sverdlovskaa oblast_
1148,Sverdlovskaa oblast_,gorodskaa,15,209,99,1283,59,12,22,19,1724,1718,2685,26,1725,25,0,0,2500,32,749,1,Sverdlovskaa oblast_
1149,Sverdlovskaa oblast_,gorodskaa,5,187,112,1208,43,8,13,11,1523,1587,2661,74,1524,74,0,0,2400,10,802,0,Sverdlovskaa oblast_
1150,Sverdlovskaa oblast_,gorodskaa,5,132,52,774,22,4,11,5,989,1005,1606,24,989,24,0,0,1500,8,487,0,Sverdlovskaa oblast_
1151,Sverdlovskaa oblast_,gorodskaa,4,78,38,452,15,4,5,4,588,600,1096,15,588,15,0,0,950,3,347,0,Sverdlovskaa oblast_
1152,Sverdlovskaa oblast_,gorodskaa,7,55,40,457,13,3,3,2,551,580,996,31,551,31,0,0,950,2,368,0,Sverdlovskaa oblast_
1153,Sverdlovskaa oblast_,gorodskaa,1,42,26,284,10,2,6,5,360,376,666,19,360,19,0,0,600,3,221,0,Sverdlovskaa oblast_
1154,Sverdlovskaa oblast_,gorodskaa,3,60,40,484,11,1,1,9,586,609,1012,26,587,26,0,0,900,3,287,0,Sverdlovskaa oblast_
1155,Sverdlovskaa oblast_,gorodskaa,7,132,56,798,17,8,11,13,1028,1042,1744,27,1028,27,0,0,1600,13,545,0,Sverdlovskaa oblast_
1156,Sverdlovskaa oblast_,gorodskaa,7,81,26,593,22,4,16,14,756,763,1250,13,756,13,0,0,1200,6,431,0,Sverdlovskaa oblast_
1157,Sverdlovskaa oblast_,gorodskaa,9,97,71,682,13,8,14,15,901,909,1452,19,901,19,0,0,1300,11,380,0,Sverdlovskaa oblast_
1158,Sverdlovskaa oblast_,gorodskaa,12,135,75,899,28,6,7,14,1152,1176,1918,36,1152,36,0,0,1800,12,612,0,Sverdlovskaa oblast_
1159,Sverdlovskaa oblast_,gorodskaa,7,93,50,634,8,7,7,6,768,812,1430,48,768,48,0,0,1300,4,484,0,Sverdlovskaa oblast_
1160,Sverdlovskaa oblast_,gorodskaa,4,81,58,535,17,4,12,5,690,716,1266,30,690,30,0,0,1200,4,480,0,Sverdlovskaa oblast_
1161,Sverdlovskaa oblast_,gorodskaa,0,3,15,86,1,0,2,0,103,107,181,6,103,6,0,0,150,2,41,0,Sverdlovskaa oblast_
1162,Sverdlovskaa oblast_,gorodskaa,12,110,88,928,20,9,10,13,1153,1190,2091,52,1153,52,0,0,1900,15,695,0,Sverdlovskaa oblast_
1163,Sverdlovskaa oblast_,gorodskaa,0,12,6,112,0,1,2,0,126,133,186,7,126,7,0,0,150,0,17,0,Sverdlovskaa oblast_
1164,Sverdlovskaa oblast_,gorodskaa,2,12,4,82,1,0,0,2,103,103,164,1,103,1,0,0,140,1,36,0,Sverdlovskaa oblast_
1165,Sverdlovskaa oblast_,gorodskaa,0,3,1,62,1,1,0,0,59,68,79,9,59,9,0,0,90,0,22,0,Sverdlovskaa oblast_
1166,Sverdlovskaa oblast_,gorodskaa,5,102,78,805,9,7,4,8,942,1018,1630,84,942,84,0,0,1400,8,374,0,Sverdlovskaa oblast_
1167,Sverdlovskaa oblast_,gorodskaa,4,128,72,746,12,5,8,3,931,978,1623,54,931,54,0,0,1300,7,315,0,Sverdlovskaa oblast_
1168,Sverdlovskaa oblast_,gorodskaa,2,47,19,308,8,1,2,3,370,390,621,22,370,22,0,0,500,2,108,0,Sverdlovskaa oblast_
1169,Sverdlovskaa oblast_,gorodskaa,6,134,121,997,24,6,3,9,1292,1300,1801,26,1292,26,0,0,1400,18,82,0,Sverdlovskaa oblast_
1170,Sverdlovskaa oblast_,gorodskaa,4,89,44,711,35,3,7,16,886,909,1385,34,886,34,0,0,1100,11,180,0,Sverdlovskaa oblast_
1171,Sverdlovskaa oblast_,gorodskaa,8,124,46,812,25,6,10,13,1045,1044,1754,14,1045,14,0,0,1600,15,541,0,Sverdlovskaa oblast_
1172,Sverdlovskaa oblast_,gorodskaa,4,84,40,442,9,0,7,4,556,590,966,34,556,34,0,0,700,0,110,0,Sverdlovskaa oblast_
1173,Sverdlovskaa oblast_,gorodskaa,0,33,23,254,10,0,2,0,303,322,416,20,303,20,0,0,350,1,27,0,Sverdlovskaa oblast_
1174,Sverdlovskaa oblast_,gorodskaa,17,213,90,1296,58,10,22,21,1730,1727,2608,9,1730,9,0,0,2500,12,761,0,Sverdlovskaa oblast_
2559,Sverdlovskaa oblast_,poselkovaa,5,53,24,333,5,2,1,2,364,425,881,67,364,67,0,0,650,6,219,0,Sverdlovskaa oblast_
2560,Sverdlovskaa oblast_,poselkovaa,7,145,68,875,9,6,4,1,1091,1115,1976,46,1091,46,0,0,1500,22,363,0,Sverdlovskaa oblast_
2561,Sverdlovskaa oblast_,poselkovaa,3,154,63,662,5,3,1,3,810,894,1367,95,810,75,20,0,1100,11,195,0,Sverdlovskaa oblast_
2562,Sverdlovskaa oblast_,poselkovaa,3,109,49,609,8,0,3,3,722,784,1433,69,722,69,0,0,1100,7,309,0,Sverdlovskaa oblast_
2563,Sverdlovskaa oblast_,poselkovaa,9,193,92,1050,8,6,4,5,1292,1367,2494,93,1292,85,8,0,1900,18,515,0,Sverdlovskaa oblast_
2564,Sverdlovskaa oblast_,poselkovaa,1,18,17,143,1,0,0,0,175,180,250,6,175,6,0,0,200,1,19,0,Sverdlovskaa oblast_
246,Sverdlovskaa oblast_,Bogdanovicskaa,6,139,67,720,8,3,2,4,920,949,1508,40,920,40,0,0,1500,11,540,0,Sverdlovskaa oblast_
247,Sverdlovskaa oblast_,Bogdanovicskaa,9,227,114,969,14,5,12,11,1334,1361,1990,39,1334,39,0,0,1900,12,527,0,Sverdlovskaa oblast_
248,Sverdlovskaa oblast_,Bogdanovicskaa,11,179,93,948,14,7,5,9,1258,1266,1896,36,1258,36,0,0,1900,28,606,0,Sverdlovskaa oblast_
249,Sverdlovskaa oblast_,Bogdanovicskaa,5,196,79,910,16,8,13,11,1186,1238,1855,69,1186,69,0,0,1800,17,545,0,Sverdlovskaa oblast_
250,Sverdlovskaa oblast_,Bogdanovicskaa,7,168,67,719,8,10,6,6,949,991,1465,52,949,52,0,0,1400,10,399,0,Sverdlovskaa oblast_
251,Sverdlovskaa oblast_,Bogdanovicskaa,3,181,80,773,14,9,8,3,1063,1071,1743,24,1063,24,0,0,1700,16,613,0,Sverdlovskaa oblast_
252,Sverdlovskaa oblast_,Bogdanovicskaa,2,80,32,300,3,1,0,1,413,419,613,10,413,10,0,0,600,4,177,0,Sverdlovskaa oblast_
253,Sverdlovskaa oblast_,Bogdanovicskaa,8,152,87,791,7,6,3,2,1042,1056,1875,21,1042,21,0,0,1900,7,837,0,Sverdlovskaa oblast_
254,Sverdlovskaa oblast_,Bogdanovicskaa,7,160,97,835,6,4,6,4,1095,1119,1880,29,1095,29,0,0,1800,5,676,0,Sverdlovskaa oblast_
255,Sverdlovskaa oblast_,Bogdanovicskaa,9,182,93,847,9,5,4,7,1131,1156,1832,46,1131,46,0,0,1800,21,623,0,Sverdlovskaa oblast_
256,Sverdlovskaa oblast_,Bogdanovicskaa,6,220,83,779,5,4,1,2,1070,1100,1730,38,1070,38,0,0,1700,8,592,0,Sverdlovskaa oblast_
257,Sverdlovskaa oblast_,Bogdanovicskaa,2,112,59,525,2,4,1,6,671,711,1142,52,671,52,0,0,1100,12,377,0,Sverdlovskaa oblast_
258,Sverdlovskaa oblast_,Bogdanovicskaa,4,175,74,766,6,5,7,5,995,1042,1739,62,995,62,0,0,1700,15,643,0,Sverdlovskaa oblast_
259,Sverdlovskaa oblast_,Bogdanovicskaa,9,122,63,534,8,4,2,3,742,745,1188,8,742,8,0,0,1100,5,350,0,Sverdlovskaa oblast_
260,Sverdlovskaa oblast_,Bogdanovicskaa,9,158,93,723,12,6,7,7,987,1015,1569,39,987,39,0,0,1500,11,474,0,Sverdlovskaa oblast_
261,Sverdlovskaa oblast_,Bogdanovicskaa,3,115,62,542,5,2,3,1,712,733,1232,26,712,26,0,0,1200,5,462,0,Sverdlovskaa oblast_
262,Sverdlovskaa oblast_,Bogdanovicskaa,2,114,43,437,3,2,2,3,561,606,992,51,561,51,0,0,900,6,288,0,Sverdlovskaa oblast_
263,Sverdlovskaa oblast_,Bogdanovicskaa,2,88,43,435,2,8,3,0,548,581,867,42,548,42,0,0,800,9,210,0,Sverdlovskaa oblast_
264,Sverdlovskaa oblast_,Bogdanovicskaa,1,118,47,637,11,3,3,1,777,821,1363,53,777,53,0,0,1300,9,470,0,Sverdlovskaa oblast_
265,Sverdlovskaa oblast_,Bogdanovicskaa,3,82,36,511,5,2,2,3,614,644,1070,37,614,37,0,0,1000,7,349,0,Sverdlovskaa oblast_
266,Sverdlovskaa oblast_,Bogdanovicskaa,1,19,27,235,2,1,1,1,276,287,397,16,276,16,0,0,350,5,58,0,Sverdlovskaa oblast_
267,Sverdlovskaa oblast_,Bogdanovicskaa,8,145,92,670,8,6,3,0,912,932,1511,32,912,32,0,0,1500,12,556,0,Sverdlovskaa oblast_
268,Sverdlovskaa oblast_,Bogdanovicskaa,6,170,110,1112,5,7,7,7,1389,1424,2386,59,1389,59,0,0,2300,24,852,0,Sverdlovskaa oblast_
269,Sverdlovskaa oblast_,Bogdanovicskaa,3,63,57,456,4,4,1,1,569,589,936,33,569,33,0,0,900,13,298,0,Sverdlovskaa oblast_
270,Sverdlovskaa oblast_,Bogdanovicskaa,2,52,27,235,3,3,1,1,289,324,486,36,289,36,0,0,450,1,125,0,Sverdlovskaa oblast_
271,Sverdlovskaa oblast_,Bogdanovicskaa,2,34,37,341,2,6,0,1,359,423,645,71,359,71,0,0,600,7,170,0,Sverdlovskaa oblast_
272,Sverdlovskaa oblast_,Bogdanovicskaa,2,69,35,272,0,0,1,1,364,380,588,19,364,19,0,0,550,3,167,0,Sverdlovskaa oblast_
273,Sverdlovskaa oblast_,Bogdanovicskaa,1,32,23,377,2,0,0,1,388,436,681,53,388,53,0,0,600,5,159,0,Sverdlovskaa oblast_
2569,Sverdlovskaa oblast_,poselkovaa,5,151,92,1102,27,10,13,17,1380,1417,2027,57,1380,57,0,0,1900,20,463,0,Sverdlovskaa oblast_
2570,Sverdlovskaa oblast_,poselkovaa,9,151,81,874,24,6,6,11,1128,1162,1950,47,1128,47,0,0,1899,13,724,0,Sverdlovskaa oblast_
2572,Sverdlovskaa oblast_,poselkovaa,9,154,83,746,14,6,8,9,954,1029,1740,88,955,88,0,0,1600,13,557,0,Sverdlovskaa oblast_
2573,Sverdlovskaa oblast_,poselkovaa,3,128,81,720,11,14,8,1,935,966,1781,48,936,48,0,0,1700,17,716,0,Sverdlovskaa oblast_
1177,Sverdlovskaa oblast_,gorodskaa,9,191,97,1362,47,13,18,39,1788,1776,2707,13,1788,13,0,0,2400,25,599,0,Sverdlovskaa oblast_
1178,Sverdlovskaa oblast_,gorodskaa,10,145,98,1252,38,7,17,34,1601,1601,2594,20,1621,20,0,0,2400,20,759,0,Sverdlovskaa oblast_
1179,Sverdlovskaa oblast_,gorodskaa,21,180,75,1108,41,11,11,27,1467,1474,2377,28,1467,28,0,0,2200,21,705,0,Sverdlovskaa oblast_
1180,Sverdlovskaa oblast_,gorodskaa,14,115,62,1014,19,5,11,11,1193,1251,2018,70,1193,70,0,0,1900,12,637,0,Sverdlovskaa oblast_
1181,Sverdlovskaa oblast_,gorodskaa,8,114,66,863,22,8,8,11,1087,1100,1826,28,1087,28,0,0,1800,15,685,0,Sverdlovskaa oblast_
1182,Sverdlovskaa oblast_,gorodskaa,8,211,82,1436,32,6,12,27,1792,1814,2747,41,1792,41,0,0,2600,19,767,0,Sverdlovskaa oblast_
1183,Sverdlovskaa oblast_,gorodskaa,12,221,95,1286,38,17,18,29,1719,1716,2654,12,1719,12,0,0,2400,15,669,0,Sverdlovskaa oblast_
1184,Sverdlovskaa oblast_,gorodskaa,14,233,65,1461,51,10,28,37,1901,1899,3017,8,1902,8,0,0,2900,10,990,0,Sverdlovskaa oblast_
1185,Sverdlovskaa oblast_,gorodskaa,9,76,38,545,15,7,5,9,694,704,1172,24,694,24,0,0,1100,14,382,0,Sverdlovskaa oblast_
1186,Sverdlovskaa oblast_,gorodskaa,16,210,91,1360,38,2,11,34,1762,1762,2958,24,1762,24,0,0,2800,24,1014,0,Sverdlovskaa oblast_
1187,Sverdlovskaa oblast_,gorodskaa,10,200,93,1290,41,12,19,21,1677,1686,2651,20,1677,20,0,0,2500,11,803,0,Sverdlovskaa oblast_
1188,Sverdlovskaa oblast_,gorodskaa,9,168,65,1082,35,14,6,17,1416,1396,2274,9,1416,9,0,0,2100,29,675,0,Sverdlovskaa oblast_
1189,Sverdlovskaa oblast_,gorodskaa,7,147,66,1137,21,4,10,20,1416,1412,2336,15,1416,15,0,0,2300,19,869,0,Sverdlovskaa oblast_
1190,Sverdlovskaa oblast_,gorodskaa,9,148,59,923,23,4,5,11,1175,1182,1968,19,1175,19,0,0,1900,12,706,0,Sverdlovskaa oblast_
1191,Sverdlovskaa oblast_,gorodskaa,11,163,95,1303,54,8,19,28,1683,1681,2535,24,1687,24,0,0,2400,26,689,0,Sverdlovskaa oblast_
