ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
241,Tambovskaa oblast_,gorodskaa,5,122,55,775,13,7,5,0,828,982,1459,159,828,159,0,0,1380,5,393,0,Tambovskaa oblast_
242,Tambovskaa oblast_,gorodskaa,6,108,50,721,8,7,2,5,763,907,1400,152,763,152,0,0,1330,8,415,0,Tambovskaa oblast_
243,Tambovskaa oblast_,gorodskaa,5,78,82,701,11,6,7,4,750,894,1307,150,750,150,0,0,1245,6,345,0,Tambovskaa oblast_
244,Tambovskaa oblast_,gorodskaa,7,131,42,716,14,5,6,7,893,928,1509,45,893,45,0,0,1340,10,402,0,Tambovskaa oblast_
245,Tambovskaa oblast_,gorodskaa,5,116,30,622,12,6,6,6,788,803,1420,28,788,28,0,0,1320,13,504,0,Tambovskaa oblast_
246,Tambovskaa oblast_,gorodskaa,4,53,19,600,3,3,3,2,587,687,1192,109,597,109,0,0,1120,9,414,0,Tambovskaa oblast_
247,Tambovskaa oblast_,gorodskaa,5,113,48,742,12,2,2,4,761,928,1142,177,761,177,0,0,1175,10,237,0,Tambovskaa oblast_
248,Tambovskaa oblast_,gorodskaa,3,82,36,567,4,2,3,0,540,697,1108,163,540,163,0,0,1025,6,322,0,Tambovskaa oblast_
249,Tambovskaa oblast_,gorodskaa,9,126,42,835,7,6,8,9,860,1042,1668,190,860,190,0,0,1510,8,460,0,Tambovskaa oblast_
250,Tambovskaa oblast_,gorodskaa,3,112,63,797,3,5,1,5,811,989,1530,193,812,193,0,0,1480,15,475,0,Tambovskaa oblast_
251,Tambovskaa oblast_,gorodskaa,9,68,102,798,12,9,5,2,760,1005,1263,254,760,254,0,0,1230,9,216,0,Tambovskaa oblast_
252,Tambovskaa oblast_,gorodskaa,7,50,28,622,3,2,1,1,588,714,876,131,588,131,0,0,825,5,106,0,Tambovskaa oblast_
253,Tambovskaa oblast_,gorodskaa,4,129,56,1132,6,7,5,4,1164,1343,1691,210,1165,210,0,0,1680,31,305,0,Tambovskaa oblast_
254,Tambovskaa oblast_,gorodskaa,9,189,49,1269,17,15,8,5,1423,1561,1907,170,1474,170,0,0,1768,32,124,0,Tambovskaa oblast_
255,Tambovskaa oblast_,gorodskaa,1,29,71,551,2,0,0,1,545,655,814,110,545,110,0,0,785,0,130,0,Tambovskaa oblast_
256,Tambovskaa oblast_,gorodskaa,3,49,51,606,7,1,1,3,665,721,853,56,665,56,0,0,850,0,129,0,Tambovskaa oblast_
257,Tambovskaa oblast_,gorodskaa,5,108,29,631,7,7,7,2,722,796,1149,94,722,94,0,0,1085,20,269,0,Tambovskaa oblast_
258,Tambovskaa oblast_,gorodskaa,8,136,40,624,10,8,0,8,669,834,1175,171,669,171,0,0,1035,6,195,0,Tambovskaa oblast_
259,Tambovskaa oblast_,gorodskaa,2,72,31,629,5,4,6,3,701,752,1073,61,701,61,0,0,1040,10,278,0,Tambovskaa oblast_
260,Tambovskaa oblast_,gorodskaa,10,108,200,696,8,12,3,7,937,1044,1665,120,937,120,0,0,1540,13,483,0,Tambovskaa oblast_
