ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
519,Tomskaa oblast_,Krivoseinskaa,0,47,7,138,0,1,1,2,187,196,349,10,187,10,0,0,300,1,103,0,Tomskaa oblast_
520,Tomskaa oblast_,Krivoseinskaa,0,15,4,66,0,0,0,0,75,85,152,10,75,10,0,0,167,0,82,0,Tomskaa oblast_
521,Tomskaa oblast_,Krivoseinskaa,0,22,26,218,1,1,1,2,257,271,433,20,257,20,0,0,400,6,123,0,Tomskaa oblast_
522,Tomskaa oblast_,Krivoseinskaa,0,17,22,98,0,2,0,0,133,139,266,8,133,8,0,0,250,2,109,0,Tomskaa oblast_
523,Tomskaa oblast_,Krivoseinskaa,1,27,26,181,3,2,2,1,231,243,353,17,231,17,0,0,300,5,52,0,Tomskaa oblast_
524,Tomskaa oblast_,Krivoseinskaa,1,62,34,392,3,2,0,1,478,495,783,18,478,18,0,0,700,1,204,0,Tomskaa oblast_
525,Tomskaa oblast_,Krivoseinskaa,2,18,16,110,0,0,0,0,136,146,278,13,136,13,0,0,250,3,101,0,Tomskaa oblast_
526,Tomskaa oblast_,Krivoseinskaa,0,5,9,73,1,1,0,0,67,89,169,22,67,22,0,0,180,0,91,0,Tomskaa oblast_
527,Tomskaa oblast_,Krivoseinskaa,0,1,5,49,0,0,0,0,42,55,77,13,42,13,0,0,77,0,22,0,Tomskaa oblast_
528,Tomskaa oblast_,Krivoseinskaa,1,29,24,121,0,0,0,0,168,175,321,11,168,11,0,0,300,4,121,0,Tomskaa oblast_
529,Tomskaa oblast_,Krivoseinskaa,0,9,9,63,0,2,0,0,74,83,155,9,74,9,0,0,152,0,69,0,Tomskaa oblast_
530,Tomskaa oblast_,Krivoseinskaa,0,16,9,83,0,0,0,0,101,108,214,8,101,8,0,0,200,1,91,0,Tomskaa oblast_
531,Tomskaa oblast_,Krivoseinskaa,1,17,6,93,0,0,0,3,105,120,211,15,105,15,0,0,200,0,80,0,Tomskaa oblast_
532,Tomskaa oblast_,Krivoseinskaa,0,6,2,26,0,0,0,0,34,34,70,0,34,0,0,0,72,0,38,0,Tomskaa oblast_
533,Tomskaa oblast_,Krivoseinskaa,0,28,18,134,1,1,0,0,173,182,348,11,173,11,0,0,300,2,116,0,Tomskaa oblast_
534,Tomskaa oblast_,Krivoseinskaa,0,1,4,22,0,0,0,0,25,27,46,2,25,2,0,0,48,0,21,0,Tomskaa oblast_
535,Tomskaa oblast_,Krivoseinskaa,2,24,25,230,2,0,1,1,240,285,619,48,240,48,0,0,600,3,312,0,Tomskaa oblast_
536,Tomskaa oblast_,Krivoseinskaa,1,24,30,240,3,1,0,1,258,300,601,44,258,44,0,0,600,2,298,0,Tomskaa oblast_
537,Tomskaa oblast_,Krivoseinskaa,0,32,30,241,4,2,1,3,292,313,615,23,292,23,0,0,600,2,285,0,Tomskaa oblast_
538,Tomskaa oblast_,Krivoseinskaa,0,9,9,112,1,0,0,0,121,131,202,10,121,10,0,0,200,0,69,0,Tomskaa oblast_
539,Tomskaa oblast_,Krivoseinskaa,0,1,8,72,0,0,0,0,70,81,132,11,70,11,0,0,129,0,48,0,Tomskaa oblast_
