ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Tul_skaa oblast_,Zaokskaa,0,39,20,231,1,2,1,4,259,298,423,42,259,42,0,0,350,3,49,0,Tul_skaa oblast_
1002,Tul_skaa oblast_,Zaokskaa,1,79,69,655,7,1,4,3,634,819,1160,193,634,193,0,0,1000,8,173,0,Tul_skaa oblast_
1003,Tul_skaa oblast_,Zaokskaa,3,29,19,196,4,1,1,2,195,255,413,64,195,64,0,0,350,4,91,0,Tul_skaa oblast_
1004,Tul_skaa oblast_,Zaokskaa,1,40,25,307,8,0,0,0,345,381,567,40,345,40,0,0,450,4,65,0,Tul_skaa oblast_
1005,Tul_skaa oblast_,Zaokskaa,0,20,8,169,1,0,1,1,184,200,349,17,184,17,0,0,300,1,99,0,Tul_skaa oblast_
1006,Tul_skaa oblast_,Zaokskaa,0,22,14,157,3,2,0,1,183,199,321,20,183,20,0,0,250,4,47,0,Tul_skaa oblast_
1007,Tul_skaa oblast_,Zaokskaa,2,76,33,523,9,10,8,2,608,663,1020,59,608,59,0,0,800,4,133,0,Tul_skaa oblast_
1008,Tul_skaa oblast_,Zaokskaa,3,46,26,383,4,2,2,1,344,467,650,123,344,123,0,0,550,0,83,0,Tul_skaa oblast_
1009,Tul_skaa oblast_,Zaokskaa,5,72,48,473,7,9,3,0,542,617,1096,88,542,88,0,0,950,13,320,0,Tul_skaa oblast_
1010,Tul_skaa oblast_,Zaokskaa,5,25,23,231,5,1,2,2,180,294,431,117,180,117,0,0,350,3,53,0,Tul_skaa oblast_
1011,Tul_skaa oblast_,Zaokskaa,6,66,44,481,4,5,5,2,602,613,995,14,602,14,0,0,950,3,334,0,Tul_skaa oblast_
1012,Tul_skaa oblast_,Zaokskaa,0,58,25,308,4,3,1,5,372,404,592,36,372,36,0,0,450,4,42,0,Tul_skaa oblast_
1013,Tul_skaa oblast_,Zaokskaa,4,57,24,294,2,2,0,1,312,384,572,76,312,76,0,0,450,4,62,0,Tul_skaa oblast_
