ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Tumenskaa oblast_,Isimskaa,1,45,32,418,5,7,0,3,472,511,593,42,472,42,0,0,607,3,93,0,Tumenskaa oblast_
1002,Tumenskaa oblast_,Isimskaa,0,2,2,196,0,0,0,0,183,200,220,17,183,17,0,0,226,0,26,0,Tumenskaa oblast_
1003,Tumenskaa oblast_,Isimskaa,0,2,2,240,0,0,0,0,233,244,256,11,233,11,0,0,257,0,13,0,Tumenskaa oblast_
1004,Tumenskaa oblast_,Isimskaa,0,1,3,175,0,0,0,0,174,179,191,5,174,5,0,0,195,0,16,0,Tumenskaa oblast_
1005,Tumenskaa oblast_,Isimskaa,0,1,5,314,0,0,0,0,294,320,335,26,294,26,0,0,336,0,16,0,Tumenskaa oblast_
1006,Tumenskaa oblast_,Isimskaa,1,3,5,566,0,1,1,0,543,577,607,34,543,34,0,0,608,0,31,0,Tumenskaa oblast_
1007,Tumenskaa oblast_,Isimskaa,0,6,10,466,0,0,0,0,405,482,506,77,405,17,60,0,510,0,28,0,Tumenskaa oblast_
1008,Tumenskaa oblast_,Isimskaa,0,1,4,360,0,0,0,0,315,365,386,50,315,50,0,0,383,0,18,0,Tumenskaa oblast_
1009,Tumenskaa oblast_,Isimskaa,2,38,27,170,2,1,0,0,203,240,312,37,203,37,0,0,314,0,74,0,Tumenskaa oblast_
1010,Tumenskaa oblast_,Isimskaa,0,0,3,155,0,0,0,0,150,158,171,8,150,8,0,0,171,0,13,0,Tumenskaa oblast_
1011,Tumenskaa oblast_,Isimskaa,0,1,1,172,0,0,1,0,169,175,184,6,169,6,0,0,185,0,10,0,Tumenskaa oblast_
1012,Tumenskaa oblast_,Isimskaa,0,0,6,267,0,0,0,0,262,273,291,11,262,11,0,0,296,0,23,0,Tumenskaa oblast_
1013,Tumenskaa oblast_,Isimskaa,5,107,67,863,0,2,5,0,911,1049,1384,138,911,138,0,0,1395,0,346,0,Tumenskaa oblast_
1014,Tumenskaa oblast_,Isimskaa,0,0,5,261,0,0,0,0,256,266,280,10,256,10,0,0,276,0,10,0,Tumenskaa oblast_
1015,Tumenskaa oblast_,Isimskaa,0,1,1,78,0,0,0,0,80,80,80,0,80,0,0,0,81,0,1,0,Tumenskaa oblast_
