ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
235,Tverskaa oblast_,Zubzovskaa,2,56,32,232,3,4,4,3,331,336,601,9,331,9,0,0,500,4,160,0,Tverskaa oblast_
236,Tverskaa oblast_,Zubzovskaa,11,167,77,709,10,12,8,7,970,1001,1650,44,970,44,0,0,1350,13,336,0,Tverskaa oblast_
237,Tverskaa oblast_,Zubzovskaa,10,137,77,699,10,4,12,5,928,954,1572,44,928,44,0,0,1300,18,328,0,Tverskaa oblast_
238,Tverskaa oblast_,Zubzovskaa,4,55,26,227,4,3,2,2,315,323,645,10,315,10,0,0,550,2,225,0,Tverskaa oblast_
239,Tverskaa oblast_,Zubzovskaa,4,103,52,427,4,3,3,3,573,599,1179,36,573,36,0,0,950,10,341,0,Tverskaa oblast_
240,Tverskaa oblast_,Zubzovskaa,0,10,5,65,2,1,1,1,71,85,154,15,71,15,0,0,120,1,34,0,Tverskaa oblast_
241,Tverskaa oblast_,Zubzovskaa,1,28,14,195,1,0,1,0,217,240,376,23,217,23,0,0,300,0,60,0,Tverskaa oblast_
242,Tverskaa oblast_,Zubzovskaa,0,22,17,148,5,1,0,2,157,195,328,41,157,41,0,0,250,3,52,0,Tverskaa oblast_
243,Tverskaa oblast_,Zubzovskaa,1,29,25,184,2,1,0,1,190,243,434,54,190,54,0,0,400,1,156,0,Tverskaa oblast_
244,Tverskaa oblast_,Zubzovskaa,1,12,19,50,0,0,2,0,60,84,147,24,60,24,0,0,130,0,46,0,Tverskaa oblast_
245,Tverskaa oblast_,Zubzovskaa,0,14,4,70,0,1,0,0,77,89,154,12,77,12,0,0,130,0,41,0,Tverskaa oblast_
246,Tverskaa oblast_,Zubzovskaa,4,22,16,123,3,3,2,0,139,173,338,36,139,36,0,0,250,2,75,0,Tverskaa oblast_
247,Tverskaa oblast_,Zubzovskaa,0,3,2,63,4,0,0,0,57,72,117,15,57,15,0,0,100,0,28,0,Tverskaa oblast_
248,Tverskaa oblast_,Zubzovskaa,0,43,31,180,4,4,4,0,209,266,375,58,209,58,0,0,300,1,33,0,Tverskaa oblast_
249,Tverskaa oblast_,Zubzovskaa,1,31,18,143,0,2,0,2,163,197,283,35,163,35,0,0,250,1,52,0,Tverskaa oblast_
250,Tverskaa oblast_,Zubzovskaa,0,43,24,199,2,1,0,0,197,269,424,76,197,76,0,0,350,4,77,0,Tverskaa oblast_
251,Tverskaa oblast_,Zubzovskaa,1,45,22,181,5,3,1,1,180,259,373,82,180,82,0,0,300,3,38,0,Tverskaa oblast_
252,Tverskaa oblast_,Zubzovskaa,3,65,33,264,1,3,0,0,331,369,702,44,331,44,0,0,550,6,175,0,Tverskaa oblast_
253,Tverskaa oblast_,Zubzovskaa,2,16,5,87,2,0,1,1,55,114,183,59,55,59,0,0,150,0,36,0,Tverskaa oblast_
254,Tverskaa oblast_,Zubzovskaa,0,15,3,94,0,0,0,1,56,113,219,57,56,57,0,0,200,0,87,0,Tverskaa oblast_
255,Tverskaa oblast_,Zubzovskaa,0,21,13,161,1,0,0,0,151,196,373,46,151,46,0,0,300,1,103,0,Tverskaa oblast_
256,Tverskaa oblast_,Zubzovskaa,0,16,7,60,0,1,1,0,55,85,176,30,55,30,0,0,150,0,65,0,Tverskaa oblast_
257,Tverskaa oblast_,Zubzovskaa,1,11,6,96,1,0,1,0,94,116,228,24,94,24,0,0,200,2,82,0,Tverskaa oblast_
258,Tverskaa oblast_,Zubzovskaa,0,24,9,107,0,0,0,1,95,141,250,46,95,46,0,0,200,0,59,0,Tverskaa oblast_
259,Tverskaa oblast_,Zubzovskaa,1,12,6,77,0,1,0,1,65,98,148,33,65,33,0,0,120,0,22,0,Tverskaa oblast_
260,Tverskaa oblast_,Zubzovskaa,7,98,49,449,7,2,4,3,543,619,1026,85,543,85,0,0,800,9,172,0,Tverskaa oblast_
261,Tverskaa oblast_,Zubzovskaa,1,29,26,177,2,2,0,0,208,237,363,30,208,30,0,0,300,1,62,0,Tverskaa oblast_
262,Tverskaa oblast_,Zubzovskaa,3,16,12,74,2,2,3,0,68,112,196,45,68,45,0,0,150,1,37,0,Tverskaa oblast_
263,Tverskaa oblast_,Zubzovskaa,0,18,10,79,2,0,0,0,86,109,212,24,86,24,0,0,200,1,90,0,Tverskaa oblast_
264,Tverskaa oblast_,Zubzovskaa,0,31,17,136,4,2,0,1,140,191,364,53,140,53,0,0,300,2,107,0,Tverskaa oblast_
