ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1701,Udmurtskaa Respublika,Zav_alovskaa,8,67,64,685,17,5,6,5,835,857,1479,33,835,33,0,0,1500,11,632,0,Udmurtskaa Respublika
1702,Udmurtskaa Respublika,Zav_alovskaa,1,15,11,173,0,0,1,2,188,203,387,18,188,18,0,0,380,3,174,0,Udmurtskaa Respublika
1703,Udmurtskaa Respublika,Zav_alovskaa,1,18,10,122,1,2,0,1,143,155,245,13,143,13,0,0,240,1,84,0,Udmurtskaa Respublika
1704,Udmurtskaa Respublika,Zav_alovskaa,1,1,2,38,0,0,0,0,39,42,74,4,39,4,0,0,70,1,27,0,Udmurtskaa Respublika
1705,Udmurtskaa Respublika,Zav_alovskaa,0,12,10,146,4,0,0,0,158,172,266,16,158,16,0,0,250,2,76,0,Udmurtskaa Respublika
1706,Udmurtskaa Respublika,Zav_alovskaa,13,159,109,1150,23,8,6,17,1469,1485,2200,35,1469,35,0,0,2100,19,596,0,Udmurtskaa Respublika
1707,Udmurtskaa Respublika,Zav_alovskaa,1,103,31,419,10,2,7,2,523,575,1006,55,523,55,0,0,950,3,372,0,Udmurtskaa Respublika
1708,Udmurtskaa Respublika,Zav_alovskaa,1,31,23,216,1,1,4,2,263,279,418,18,263,18,0,0,350,2,69,0,Udmurtskaa Respublika
1709,Udmurtskaa Respublika,Zav_alovskaa,0,10,10,77,0,1,0,0,50,98,177,48,50,48,0,0,150,0,52,0,Udmurtskaa Respublika
1710,Udmurtskaa Respublika,Zav_alovskaa,0,7,10,75,1,2,0,0,75,95,161,20,75,20,0,0,130,0,35,0,Udmurtskaa Respublika
1711,Udmurtskaa Respublika,Zav_alovskaa,8,168,98,933,23,9,13,11,1250,1263,2064,27,1250,27,0,0,2000,14,723,0,Udmurtskaa Respublika
1712,Udmurtskaa Respublika,Zav_alovskaa,10,170,90,999,28,9,15,13,1334,1334,2235,23,1334,23,0,0,2200,23,843,0,Udmurtskaa Respublika
1713,Udmurtskaa Respublika,Zav_alovskaa,6,72,47,461,12,1,3,4,614,606,1056,6,614,6,0,0,1000,14,380,0,Udmurtskaa Respublika
1714,Udmurtskaa Respublika,Zav_alovskaa,5,151,84,857,19,6,14,5,1124,1141,2021,47,1125,46,0,0,1900,30,729,0,Udmurtskaa Respublika
1715,Udmurtskaa Respublika,Zav_alovskaa,1,44,27,371,4,1,2,1,442,451,779,13,442,13,0,0,750,4,295,0,Udmurtskaa Respublika
1716,Udmurtskaa Respublika,Zav_alovskaa,7,97,53,570,12,5,13,4,776,761,1246,4,775,4,0,0,1200,19,420,1,Udmurtskaa Respublika
1717,Udmurtskaa Respublika,Zav_alovskaa,6,107,64,789,14,10,6,6,999,1002,1464,14,999,14,0,0,1300,11,287,0,Udmurtskaa Respublika
1718,Udmurtskaa Respublika,Zav_alovskaa,2,46,33,320,5,5,7,0,412,418,655,7,412,7,0,0,600,1,181,0,Udmurtskaa Respublika
1719,Udmurtskaa Respublika,Zav_alovskaa,1,30,14,165,6,1,1,0,205,218,364,14,205,14,0,0,350,1,131,0,Udmurtskaa Respublika
1720,Udmurtskaa Respublika,Zav_alovskaa,2,88,50,684,7,1,6,0,802,838,1346,47,802,47,0,0,1300,11,451,0,Udmurtskaa Respublika
1721,Udmurtskaa Respublika,Zav_alovskaa,5,123,76,894,18,6,18,11,1151,1151,1869,8,1151,8,0,0,1700,8,541,0,Udmurtskaa Respublika
1722,Udmurtskaa Respublika,Zav_alovskaa,5,34,20,198,4,2,4,2,264,269,442,7,264,7,0,0,400,2,129,0,Udmurtskaa Respublika
1723,Udmurtskaa Respublika,Zav_alovskaa,2,7,9,106,2,0,2,0,120,128,204,9,120,9,0,0,200,1,71,0,Udmurtskaa Respublika
1724,Udmurtskaa Respublika,Zav_alovskaa,0,23,10,146,1,0,0,1,178,181,314,3,178,3,0,0,300,0,119,0,Udmurtskaa Respublika
1725,Udmurtskaa Respublika,Zav_alovskaa,1,22,12,138,4,1,1,0,176,179,304,5,176,5,0,0,270,2,89,0,Udmurtskaa Respublika
1726,Udmurtskaa Respublika,Zav_alovskaa,1,16,29,298,4,5,1,1,340,355,606,23,340,23,0,0,600,8,237,0,Udmurtskaa Respublika
1727,Udmurtskaa Respublika,Zav_alovskaa,5,22,25,267,5,1,0,0,301,325,535,29,301,29,0,0,500,5,170,0,Udmurtskaa Respublika
1728,Udmurtskaa Respublika,Zav_alovskaa,0,14,20,110,1,0,0,0,133,145,246,12,133,12,0,0,220,0,75,0,Udmurtskaa Respublika
1729,Udmurtskaa Respublika,Zav_alovskaa,8,69,56,483,11,6,1,3,608,637,957,39,608,39,0,0,900,10,253,0,Udmurtskaa Respublika
1730,Udmurtskaa Respublika,Zav_alovskaa,1,13,11,147,4,2,0,0,171,178,254,9,171,9,0,0,230,2,50,0,Udmurtskaa Respublika
1731,Udmurtskaa Respublika,Zav_alovskaa,8,114,49,590,15,5,11,9,805,801,1364,10,805,10,0,0,1300,14,485,0,Udmurtskaa Respublika
1732,Udmurtskaa Respublika,Zav_alovskaa,4,104,54,573,18,7,4,8,766,772,1281,11,766,11,0,0,1200,5,423,0,Udmurtskaa Respublika
1733,Udmurtskaa Respublika,Zav_alovskaa,1,102,42,580,21,5,11,3,752,765,1481,21,752,21,0,0,1500,8,727,0,Udmurtskaa Respublika
1734,Udmurtskaa Respublika,Zav_alovskaa,5,133,66,803,21,10,11,10,1065,1059,1623,6,1065,6,0,0,1500,12,429,0,Udmurtskaa Respublika
1735,Udmurtskaa Respublika,Zav_alovskaa,3,21,32,275,2,0,1,1,319,335,540,18,319,18,0,0,500,2,163,0,Udmurtskaa Respublika
1736,Udmurtskaa Respublika,Zav_alovskaa,9,247,100,1024,15,6,17,9,1386,1427,2540,70,1386,70,0,0,2500,29,1044,0,Udmurtskaa Respublika
1737,Udmurtskaa Respublika,Zav_alovskaa,5,108,41,541,10,2,8,7,702,722,1069,27,702,27,0,0,1000,7,271,0,Udmurtskaa Respublika
1738,Udmurtskaa Respublika,Zav_alovskaa,2,46,34,275,3,2,1,0,349,363,596,15,349,15,0,0,550,1,186,0,Udmurtskaa Respublika
1739,Udmurtskaa Respublika,Zav_alovskaa,5,47,60,711,7,6,2,1,815,839,1264,38,815,38,0,0,1250,14,397,0,Udmurtskaa Respublika
1740,Udmurtskaa Respublika,Zav_alovskaa,0,18,18,135,2,3,1,2,134,179,317,47,134,47,0,0,260,2,79,0,Udmurtskaa Respublika
1741,Udmurtskaa Respublika,Zav_alovskaa,2,8,7,113,1,0,0,1,118,132,217,15,118,15,0,0,200,1,67,0,Udmurtskaa Respublika
1742,Udmurtskaa Respublika,Zav_alovskaa,1,15,18,264,2,0,0,1,275,301,428,29,275,29,0,0,400,3,96,0,Udmurtskaa Respublika
1743,Udmurtskaa Respublika,Zav_alovskaa,3,70,38,559,4,6,4,4,677,688,1085,26,677,26,0,0,1000,15,297,0,Udmurtskaa Respublika
1744,Udmurtskaa Respublika,Zav_alovskaa,5,52,37,470,5,3,2,2,547,576,841,38,547,38,0,0,800,9,215,0,Udmurtskaa Respublika
1745,Udmurtskaa Respublika,Zav_alovskaa,4,63,29,464,3,1,2,3,546,569,878,28,546,28,0,0,800,5,226,0,Udmurtskaa Respublika
1746,Udmurtskaa Respublika,Zav_alovskaa,0,21,15,197,4,1,1,3,231,242,341,15,231,15,0,0,300,4,54,0,Udmurtskaa Respublika
1747,Udmurtskaa Respublika,Zav_alovskaa,1,30,35,494,2,7,3,1,567,573,983,10,567,10,0,0,1000,4,423,0,Udmurtskaa Respublika
1748,Udmurtskaa Respublika,Zav_alovskaa,1,4,8,145,1,0,1,2,141,162,291,22,141,22,0,0,280,1,117,0,Udmurtskaa Respublika
1749,Udmurtskaa Respublika,Zav_alovskaa,3,31,39,578,4,4,2,2,532,663,1034,143,532,143,0,0,900,12,225,0,Udmurtskaa Respublika
1750,Udmurtskaa Respublika,Zav_alovskaa,5,89,80,694,12,7,4,6,888,897,1719,16,888,16,0,0,1600,7,696,0,Udmurtskaa Respublika
1751,Udmurtskaa Respublika,Zav_alovskaa,2,48,28,407,6,1,2,3,485,497,810,13,485,13,0,0,800,1,302,0,Udmurtskaa Respublika
1752,Udmurtskaa Respublika,Zav_alovskaa,1,25,42,394,3,6,2,1,448,474,865,32,448,32,0,0,850,6,370,0,Udmurtskaa Respublika
1753,Udmurtskaa Respublika,Zav_alovskaa,0,8,13,97,2,0,0,0,115,120,182,5,115,5,0,0,170,0,50,0,Udmurtskaa Respublika
1754,Udmurtskaa Respublika,Zav_alovskaa,11,139,109,1123,29,16,16,14,1447,1457,2516,24,1447,24,0,0,2300,14,829,0,Udmurtskaa Respublika
1755,Udmurtskaa Respublika,Zav_alovskaa,3,49,45,373,16,8,4,4,490,502,842,16,490,16,0,0,750,4,244,0,Udmurtskaa Respublika
1756,Udmurtskaa Respublika,Zav_alovskaa,0,59,19,324,15,0,8,6,423,431,863,10,423,10,0,0,800,2,367,0,Udmurtskaa Respublika
1757,Udmurtskaa Respublika,Zav_alovskaa,0,19,18,174,1,0,1,0,207,213,369,8,207,8,0,0,350,2,135,0,Udmurtskaa Respublika
1758,Udmurtskaa Respublika,Zav_alovskaa,11,105,57,909,11,7,13,2,1123,1115,1699,13,1122,13,0,0,1650,21,514,1,Udmurtskaa Respublika
1759,Udmurtskaa Respublika,Zav_alovskaa,4,75,33,481,10,3,7,3,615,616,926,9,615,9,0,0,850,8,225,1,Udmurtskaa Respublika
1760,Udmurtskaa Respublika,Zav_alovskaa,10,183,86,1037,31,7,13,10,1387,1377,2258,5,1387,5,0,0,2200,15,808,0,Udmurtskaa Respublika
1761,Udmurtskaa Respublika,Zav_alovskaa,9,144,92,900,25,4,9,10,1189,1193,1995,15,1189,15,0,0,1900,11,696,0,Udmurtskaa Respublika
1801,Udmurtskaa Respublika,Igrinskaa,5,115,75,1029,12,7,4,5,1225,1252,2176,42,1225,42,0,0,2220,15,953,0,Udmurtskaa Respublika
1802,Udmurtskaa Respublika,Igrinskaa,1,28,39,349,5,3,2,2,397,429,815,35,397,35,0,0,820,3,388,0,Udmurtskaa Respublika
1803,Udmurtskaa Respublika,Igrinskaa,2,33,36,477,6,3,2,1,540,560,1186,26,541,26,0,0,1200,6,633,0,Udmurtskaa Respublika
1804,Udmurtskaa Respublika,Igrinskaa,1,92,106,993,14,9,6,3,1166,1224,2198,80,1166,80,0,0,2260,22,1014,0,Udmurtskaa Respublika
1805,Udmurtskaa Respublika,Igrinskaa,4,71,82,888,8,5,9,2,1004,1069,1899,79,1004,79,0,0,1920,14,837,0,Udmurtskaa Respublika
1806,Udmurtskaa Respublika,Igrinskaa,7,150,87,940,22,11,9,6,1224,1232,2092,33,1224,33,0,0,2160,25,903,0,Udmurtskaa Respublika
1807,Udmurtskaa Respublika,Igrinskaa,3,55,37,380,3,3,4,1,443,486,807,51,443,51,0,0,800,8,306,0,Udmurtskaa Respublika
1808,Udmurtskaa Respublika,Igrinskaa,5,102,70,720,8,6,5,9,909,925,1481,24,909,24,0,0,1520,8,587,0,Udmurtskaa Respublika
1809,Udmurtskaa Respublika,Igrinskaa,8,133,87,1028,12,7,5,4,1257,1284,1986,41,1257,41,0,0,2060,14,762,0,Udmurtskaa Respublika
1810,Udmurtskaa Respublika,Igrinskaa,5,98,60,635,13,7,4,0,802,822,1206,33,802,33,0,0,1220,13,385,0,Udmurtskaa Respublika
1811,Udmurtskaa Respublika,Igrinskaa,6,61,39,425,3,4,1,2,533,541,822,15,534,15,0,0,830,7,281,0,Udmurtskaa Respublika
1812,Udmurtskaa Respublika,Igrinskaa,3,46,45,433,9,4,1,1,511,542,957,42,511,42,0,0,960,11,407,0,Udmurtskaa Respublika
1813,Udmurtskaa Respublika,Igrinskaa,3,26,30,247,0,6,2,1,298,315,562,21,298,21,0,0,570,4,251,0,Udmurtskaa Respublika
1814,Udmurtskaa Respublika,Igrinskaa,2,33,49,376,6,2,3,1,422,472,897,57,422,57,0,0,900,7,421,0,Udmurtskaa Respublika
1815,Udmurtskaa Respublika,Igrinskaa,3,26,24,460,3,4,1,0,506,521,671,18,506,18,0,0,700,3,176,0,Udmurtskaa Respublika
1816,Udmurtskaa Respublika,Igrinskaa,1,18,24,287,0,0,1,0,313,331,424,24,313,24,0,0,440,6,103,0,Udmurtskaa Respublika
1817,Udmurtskaa Respublika,Igrinskaa,2,21,20,283,1,4,2,0,297,333,462,40,297,40,0,0,490,4,153,0,Udmurtskaa Respublika
1818,Udmurtskaa Respublika,Igrinskaa,1,2,6,101,0,1,0,0,100,111,133,11,100,11,0,0,145,0,34,0,Udmurtskaa Respublika
1819,Udmurtskaa Respublika,Igrinskaa,6,84,50,588,2,7,1,0,659,738,1119,85,659,85,0,0,1140,6,396,0,Udmurtskaa Respublika
1820,Udmurtskaa Respublika,Igrinskaa,3,100,56,507,8,7,4,3,633,688,1102,70,633,70,0,0,1130,15,427,0,Udmurtskaa Respublika
1821,Udmurtskaa Respublika,Igrinskaa,0,31,30,421,2,1,0,1,450,486,638,36,450,36,0,0,670,0,184,0,Udmurtskaa Respublika
1822,Udmurtskaa Respublika,Igrinskaa,0,6,7,220,1,0,1,2,215,237,330,26,215,26,0,0,348,4,107,0,Udmurtskaa Respublika
1823,Udmurtskaa Respublika,Igrinskaa,1,6,12,180,2,1,1,1,184,204,283,23,184,23,0,0,300,3,93,0,Udmurtskaa Respublika
1824,Udmurtskaa Respublika,Igrinskaa,1,12,18,233,1,2,1,0,231,268,404,37,231,37,0,0,430,0,162,0,Udmurtskaa Respublika
1825,Udmurtskaa Respublika,Igrinskaa,0,11,16,112,2,2,1,0,132,144,182,14,132,14,0,0,196,2,50,0,Udmurtskaa Respublika
1826,Udmurtskaa Respublika,Igrinskaa,2,60,62,548,7,3,3,3,641,688,864,52,641,52,0,0,890,5,197,0,Udmurtskaa Respublika
1827,Udmurtskaa Respublika,Igrinskaa,0,6,10,147,0,0,0,0,153,163,234,10,153,10,0,0,231,0,68,0,Udmurtskaa Respublika
1828,Udmurtskaa Respublika,Igrinskaa,0,7,9,133,2,1,2,0,146,154,212,8,146,8,0,0,213,0,59,0,Udmurtskaa Respublika
1829,Udmurtskaa Respublika,Igrinskaa,0,20,30,278,5,4,0,0,268,337,570,70,268,70,0,0,615,1,277,0,Udmurtskaa Respublika
1830,Udmurtskaa Respublika,Igrinskaa,2,29,21,337,3,4,2,4,377,402,500,27,377,27,0,0,520,2,116,0,Udmurtskaa Respublika
