ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1901,Ul_anovskaa oblast_,Nikolaevskaa,4,111,59,575,4,4,3,4,592,764,1214,174,592,174,0,0,1265,2,499,0,Ul_anovskaa oblast_
1902,Ul_anovskaa oblast_,Nikolaevskaa,6,99,131,560,4,6,1,4,755,811,961,62,755,62,0,0,970,6,153,0,Ul_anovskaa oblast_
1903,Ul_anovskaa oblast_,Nikolaevskaa,6,116,37,503,7,2,6,4,594,681,1073,98,594,98,0,0,1060,11,368,0,Ul_anovskaa oblast_
1904,Ul_anovskaa oblast_,Nikolaevskaa,6,49,12,268,0,1,1,1,300,338,487,40,300,40,0,0,490,2,150,0,Ul_anovskaa oblast_
1905,Ul_anovskaa oblast_,Nikolaevskaa,0,65,34,656,3,2,1,0,630,761,1026,148,630,148,0,0,1065,17,287,0,Ul_anovskaa oblast_
1906,Ul_anovskaa oblast_,Nikolaevskaa,1,88,44,333,3,6,1,1,434,477,675,48,434,48,0,0,710,5,228,0,Ul_anovskaa oblast_
1907,Ul_anovskaa oblast_,Nikolaevskaa,2,132,41,748,2,7,1,0,775,933,1166,164,775,164,0,0,1235,6,296,0,Ul_anovskaa oblast_
1908,Ul_anovskaa oblast_,Nikolaevskaa,0,39,8,193,1,3,0,0,186,244,278,58,186,58,0,0,290,0,46,0,Ul_anovskaa oblast_
1909,Ul_anovskaa oblast_,Nikolaevskaa,5,53,30,498,2,5,0,1,525,594,733,93,525,93,0,0,750,24,132,0,Ul_anovskaa oblast_
1910,Ul_anovskaa oblast_,Nikolaevskaa,1,51,16,561,0,1,0,0,550,630,670,104,550,104,0,0,710,24,56,0,Ul_anovskaa oblast_
1911,Ul_anovskaa oblast_,Nikolaevskaa,0,1,4,59,0,0,0,0,54,64,78,10,54,10,0,0,85,0,21,0,Ul_anovskaa oblast_
1912,Ul_anovskaa oblast_,Nikolaevskaa,0,2,6,72,0,0,0,0,67,80,82,13,67,13,0,0,80,0,0,0,Ul_anovskaa oblast_
