ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
827,Vladimirskaa oblast_,Gorohovezkaa,8,130,62,681,16,8,3,3,897,911,1335,27,897,27,0,0,1380,13,456,0,Vladimirskaa oblast_
828,Vladimirskaa oblast_,Gorohovezkaa,3,84,47,418,7,1,4,2,546,566,846,47,546,47,0,0,840,27,247,0,Vladimirskaa oblast_
829,Vladimirskaa oblast_,Gorohovezkaa,8,167,77,715,3,5,3,9,854,987,1322,138,854,138,0,0,1440,5,448,0,Vladimirskaa oblast_
830,Vladimirskaa oblast_,Gorohovezkaa,3,68,35,363,5,2,4,2,405,482,643,80,405,80,0,0,670,3,185,0,Vladimirskaa oblast_
831,Vladimirskaa oblast_,Gorohovezkaa,6,117,105,733,9,7,8,7,864,992,1004,140,864,140,0,0,1410,12,406,0,Vladimirskaa oblast_
832,Vladimirskaa oblast_,Gorohovezkaa,6,125,82,689,6,6,2,2,789,918,1247,143,789,143,0,0,1250,14,318,0,Vladimirskaa oblast_
833,Vladimirskaa oblast_,Gorohovezkaa,5,110,42,819,10,2,7,4,943,999,1182,61,943,61,0,0,1260,5,256,0,Vladimirskaa oblast_
834,Vladimirskaa oblast_,Gorohovezkaa,10,127,82,665,5,6,9,4,792,908,1255,118,792,118,0,0,1300,2,390,0,Vladimirskaa oblast_
835,Vladimirskaa oblast_,Gorohovezkaa,6,95,65,410,9,3,4,0,493,592,798,101,493,101,0,0,840,2,246,0,Vladimirskaa oblast_
836,Vladimirskaa oblast_,Gorohovezkaa,4,82,73,517,1,2,0,2,637,681,959,49,637,49,0,0,900,5,214,0,Vladimirskaa oblast_
837,Vladimirskaa oblast_,Gorohovezkaa,0,76,29,282,1,2,1,0,265,391,508,130,265,130,0,0,540,4,145,0,Vladimirskaa oblast_
838,Vladimirskaa oblast_,Gorohovezkaa,2,121,52,564,3,3,6,2,587,753,991,173,587,173,0,0,960,7,200,0,Vladimirskaa oblast_
