ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Volgogradskaa oblast_,Zentral_naa,1,62,28,1124,3,0,1,4,1176,1223,1702,53,1176,53,0,0,1650,6,421,0,Volgogradskaa oblast_
1002,Volgogradskaa oblast_,Zentral_naa,16,188,94,1077,35,13,11,38,1406,1472,1905,84,1408,84,0,0,1850,18,358,0,Volgogradskaa oblast_
1003,Volgogradskaa oblast_,Zentral_naa,12,203,64,1129,28,16,22,21,1438,1495,1503,65,1438,65,0,0,1950,8,447,0,Volgogradskaa oblast_
1004,Volgogradskaa oblast_,Zentral_naa,11,165,72,868,26,10,18,37,1169,1207,1720,53,1169,53,0,0,1900,15,678,0,Volgogradskaa oblast_
1005,Volgogradskaa oblast_,Zentral_naa,9,162,62,798,32,7,13,26,1070,1109,1796,53,1070,53,0,0,1700,14,577,0,Volgogradskaa oblast_
1006,Volgogradskaa oblast_,Zentral_naa,7,183,66,697,24,3,11,26,1006,1017,1377,23,1006,23,0,0,1100,12,71,0,Volgogradskaa oblast_
1007,Volgogradskaa oblast_,Zentral_naa,16,236,85,1187,38,9,11,32,1540,1614,2290,81,1540,81,0,0,2300,7,679,0,Volgogradskaa oblast_
1008,Volgogradskaa oblast_,Zentral_naa,10,211,68,1209,57,10,11,48,1580,1624,2478,58,1583,58,0,0,2400,14,759,0,Volgogradskaa oblast_
1009,Volgogradskaa oblast_,Zentral_naa,19,245,59,1220,31,7,15,44,1616,1640,2493,54,1616,54,0,0,2150,30,480,0,Volgogradskaa oblast_
1010,Volgogradskaa oblast_,Zentral_naa,11,230,99,1192,53,13,15,32,1620,1645,2516,43,1663,43,0,0,2400,18,694,0,Volgogradskaa oblast_
1011,Volgogradskaa oblast_,Zentral_naa,4,88,35,952,33,4,8,34,1117,1158,1659,53,1117,53,0,0,1600,12,430,0,Volgogradskaa oblast_
1012,Volgogradskaa oblast_,Zentral_naa,12,254,91,1317,34,11,28,30,1729,1777,2661,74,1729,74,0,0,2600,26,797,0,Volgogradskaa oblast_
1013,Volgogradskaa oblast_,Zentral_naa,12,265,87,1306,67,12,24,37,1798,1810,2755,30,1798,30,0,0,2500,18,672,0,Volgogradskaa oblast_
1014,Volgogradskaa oblast_,Zentral_naa,1,8,40,324,46,2,2,4,433,427,433,0,433,0,0,0,800,6,367,0,Volgogradskaa oblast_
1015,Volgogradskaa oblast_,Zentral_naa,12,210,78,1203,49,14,27,49,1591,1642,2693,69,1593,69,0,0,2200,18,538,0,Volgogradskaa oblast_
1016,Volgogradskaa oblast_,Zentral_naa,19,199,122,1153,56,10,15,35,1384,1609,1629,245,1384,245,0,0,2450,20,821,0,Volgogradskaa oblast_
1017,Volgogradskaa oblast_,Zentral_naa,8,151,48,723,29,8,14,18,969,999,1526,39,969,39,0,0,1250,9,242,0,Volgogradskaa oblast_
1018,Volgogradskaa oblast_,Zentral_naa,13,184,60,906,32,12,7,29,1193,1243,1804,58,1193,58,0,0,1750,8,499,0,Volgogradskaa oblast_
1019,Volgogradskaa oblast_,Zentral_naa,11,191,68,793,42,6,26,40,1015,1177,1848,175,1015,175,0,0,1550,13,360,0,Volgogradskaa oblast_
1020,Volgogradskaa oblast_,Zentral_naa,8,148,36,1031,37,12,9,31,1072,1312,1594,251,1072,251,0,0,1533,11,210,0,Volgogradskaa oblast_
1021,Volgogradskaa oblast_,Zentral_naa,16,216,66,1014,57,12,17,39,1430,1437,2259,33,1430,33,0,0,1877,26,414,0,Volgogradskaa oblast_
