ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
371,Vologodskaa oblast_,Vytegorskaa,9,156,72,738,12,6,4,4,916,1001,1619,91,916,91,0,0,1590,6,583,0,Vologodskaa oblast_
372,Vologodskaa oblast_,Vytegorskaa,0,112,55,366,2,3,5,8,507,551,1047,46,507,46,0,0,1050,2,497,0,Vologodskaa oblast_
373,Vologodskaa oblast_,Vytegorskaa,5,139,83,728,15,3,3,6,901,982,1813,87,901,87,0,0,1820,6,832,0,Vologodskaa oblast_
374,Vologodskaa oblast_,Vytegorskaa,9,131,84,626,11,4,5,8,822,878,1743,62,822,62,0,0,1780,6,896,0,Vologodskaa oblast_
375,Vologodskaa oblast_,Vytegorskaa,5,159,104,770,14,6,6,5,1024,1069,1809,56,1024,56,0,0,1810,11,730,0,Vologodskaa oblast_
376,Vologodskaa oblast_,Vytegorskaa,1,18,11,118,0,0,0,2,133,150,250,19,133,19,0,0,235,2,83,0,Vologodskaa oblast_
377,Vologodskaa oblast_,Vytegorskaa,1,16,5,94,0,0,0,1,91,117,221,27,91,27,0,0,213,1,95,0,Vologodskaa oblast_
378,Vologodskaa oblast_,Vytegorskaa,5,62,35,373,3,6,2,1,432,487,792,60,432,60,0,0,781,5,289,0,Vologodskaa oblast_
379,Vologodskaa oblast_,Vytegorskaa,0,5,8,62,1,1,0,0,71,77,119,7,71,7,0,0,98,1,20,0,Vologodskaa oblast_
380,Vologodskaa oblast_,Vytegorskaa,0,2,17,69,0,0,0,0,74,88,156,16,74,16,0,0,150,2,60,0,Vologodskaa oblast_
381,Vologodskaa oblast_,Vytegorskaa,1,16,25,235,2,2,3,0,228,284,433,59,228,59,0,0,445,3,158,0,Vologodskaa oblast_
382,Vologodskaa oblast_,Vytegorskaa,0,1,17,113,0,0,0,0,99,131,202,32,99,32,0,0,189,0,58,0,Vologodskaa oblast_
383,Vologodskaa oblast_,Vytegorskaa,0,2,8,14,0,0,1,0,22,25,43,3,22,3,0,0,50,0,25,0,Vologodskaa oblast_
384,Vologodskaa oblast_,Vytegorskaa,1,4,4,42,1,0,0,0,34,52,98,19,34,19,0,0,95,1,42,0,Vologodskaa oblast_
385,Vologodskaa oblast_,Vytegorskaa,0,3,4,67,0,0,0,0,65,74,105,9,65,9,0,0,110,0,36,0,Vologodskaa oblast_
386,Vologodskaa oblast_,Vytegorskaa,0,24,14,120,1,1,1,0,98,161,256,65,98,65,0,0,276,2,113,0,Vologodskaa oblast_
388,Vologodskaa oblast_,Vytegorskaa,1,29,10,96,2,1,0,3,73,142,247,69,73,69,0,0,225,0,83,0,Vologodskaa oblast_
389,Vologodskaa oblast_,Vytegorskaa,1,12,20,164,2,0,1,0,171,200,276,30,171,30,0,0,297,1,96,0,Vologodskaa oblast_
390,Vologodskaa oblast_,Vytegorskaa,4,56,67,399,5,2,5,1,482,539,973,64,482,64,0,0,990,7,444,0,Vologodskaa oblast_
391,Vologodskaa oblast_,Vytegorskaa,0,10,12,86,0,0,0,1,86,109,170,23,86,23,0,0,188,0,79,0,Vologodskaa oblast_
392,Vologodskaa oblast_,Vytegorskaa,0,3,4,38,1,0,0,0,35,46,74,11,35,11,0,0,64,0,18,0,Vologodskaa oblast_
393,Vologodskaa oblast_,Vytegorskaa,1,16,20,212,4,2,2,0,226,257,498,32,226,32,0,0,477,1,219,0,Vologodskaa oblast_
394,Vologodskaa oblast_,Vytegorskaa,1,14,22,145,4,2,2,4,168,194,299,29,168,29,0,0,302,3,105,0,Vologodskaa oblast_
395,Vologodskaa oblast_,Vytegorskaa,2,53,43,274,2,5,0,1,345,380,628,38,345,38,0,0,645,3,262,0,Vologodskaa oblast_
396,Vologodskaa oblast_,Vytegorskaa,1,11,13,139,2,0,0,0,122,166,283,44,122,44,0,0,281,0,115,0,Vologodskaa oblast_
397,Vologodskaa oblast_,Vytegorskaa,4,73,54,370,5,2,2,1,462,511,953,51,462,51,0,0,945,2,432,0,Vologodskaa oblast_
398,Vologodskaa oblast_,Vytegorskaa,2,84,44,484,7,1,6,8,590,636,1196,56,590,56,0,0,1200,10,554,0,Vologodskaa oblast_
399,Vologodskaa oblast_,Vytegorskaa,3,83,46,439,3,3,0,1,547,578,994,36,547,36,0,0,1000,5,417,0,Vologodskaa oblast_
400,Vologodskaa oblast_,Vytegorskaa,0,11,7,152,0,2,0,0,158,172,324,18,158,18,0,0,325,4,149,0,Vologodskaa oblast_
401,Vologodskaa oblast_,Vytegorskaa,1,12,26,236,1,0,0,1,242,277,455,35,242,35,0,0,460,0,183,0,Vologodskaa oblast_
402,Vologodskaa oblast_,Vytegorskaa,0,7,6,69,1,0,0,0,76,83,126,7,76,7,0,0,129,0,46,0,Vologodskaa oblast_
403,Vologodskaa oblast_,Vytegorskaa,0,11,6,37,0,2,0,0,37,56,94,20,37,20,0,0,98,1,41,0,Vologodskaa oblast_
404,Vologodskaa oblast_,Vytegorskaa,1,33,18,222,4,4,0,1,213,283,580,73,213,73,0,0,560,3,274,0,Vologodskaa oblast_
405,Vologodskaa oblast_,Vytegorskaa,7,64,33,387,1,3,1,1,389,497,900,114,389,114,0,0,930,6,427,0,Vologodskaa oblast_
406,Vologodskaa oblast_,Vytegorskaa,1,20,11,101,0,1,0,0,128,134,185,6,128,6,0,0,179,0,45,0,Vologodskaa oblast_
407,Vologodskaa oblast_,Vytegorskaa,1,7,6,102,0,0,1,1,103,118,205,15,103,15,0,0,198,0,80,0,Vologodskaa oblast_
408,Vologodskaa oblast_,Vytegorskaa,2,43,21,208,3,1,0,0,211,278,508,68,211,68,0,0,530,1,251,0,Vologodskaa oblast_
