ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Voronejskaa oblast_,Kominternovskaa,9,116,58,680,12,7,13,6,845,901,1853,62,846,62,0,0,1800,6,892,0,Voronejskaa oblast_
1002,Voronejskaa oblast_,Kominternovskaa,6,150,28,773,27,6,16,9,1012,1015,1829,11,1013,11,0,0,1700,8,676,0,Voronejskaa oblast_
1003,Voronejskaa oblast_,Kominternovskaa,15,176,61,924,30,8,11,12,1210,1237,2352,40,1210,40,0,0,2100,13,850,0,Voronejskaa oblast_
1004,Voronejskaa oblast_,Kominternovskaa,10,165,76,923,18,13,5,10,1171,1220,2421,54,1171,54,0,0,2300,5,1075,0,Voronejskaa oblast_
1005,Voronejskaa oblast_,Kominternovskaa,7,165,91,928,25,13,14,17,1227,1260,2259,46,1227,46,0,0,2150,13,877,0,Voronejskaa oblast_
1006,Voronejskaa oblast_,Kominternovskaa,8,197,67,1010,14,12,10,11,1290,1329,2295,47,1290,47,0,0,2200,8,863,0,Voronejskaa oblast_
1007,Voronejskaa oblast_,Kominternovskaa,6,70,38,489,11,6,4,6,616,630,1288,19,616,19,0,0,1200,5,565,0,Voronejskaa oblast_
1008,Voronejskaa oblast_,Kominternovskaa,7,76,45,540,11,7,5,8,679,699,1438,25,679,25,0,0,1300,5,596,0,Voronejskaa oblast_
1009,Voronejskaa oblast_,Kominternovskaa,5,97,46,545,11,5,11,9,724,729,1415,10,724,10,0,0,1300,5,566,0,Voronejskaa oblast_
1010,Voronejskaa oblast_,Kominternovskaa,9,74,33,664,10,12,9,5,768,816,1555,56,769,56,0,0,1400,8,575,0,Voronejskaa oblast_
1011,Voronejskaa oblast_,Kominternovskaa,5,78,43,600,10,16,3,3,734,758,1463,34,734,34,0,0,1300,10,532,0,Voronejskaa oblast_
1012,Voronejskaa oblast_,Kominternovskaa,8,81,63,629,8,13,4,7,791,813,1640,30,791,30,0,0,1500,8,679,0,Voronejskaa oblast_
1013,Voronejskaa oblast_,Kominternovskaa,13,144,50,806,14,13,14,6,1055,1060,1858,18,1055,18,0,0,1800,13,727,0,Voronejskaa oblast_
1014,Voronejskaa oblast_,Kominternovskaa,2,101,48,537,11,9,6,4,726,718,1714,4,726,4,0,0,1700,12,970,0,Voronejskaa oblast_
1015,Voronejskaa oblast_,Kominternovskaa,10,150,64,932,14,10,7,9,1159,1196,2176,49,1159,49,0,0,2100,12,892,0,Voronejskaa oblast_
1016,Voronejskaa oblast_,Kominternovskaa,10,167,85,883,31,6,8,7,1177,1197,2378,25,1177,25,0,0,2100,5,898,0,Voronejskaa oblast_
1017,Voronejskaa oblast_,Kominternovskaa,12,184,85,1114,25,10,12,10,1439,1452,2533,27,1439,27,0,0,2200,14,734,0,Voronejskaa oblast_
1018,Voronejskaa oblast_,Kominternovskaa,10,163,80,1010,28,15,14,17,1325,1337,2382,25,1334,25,0,0,2300,13,941,0,Voronejskaa oblast_
1019,Voronejskaa oblast_,Kominternovskaa,8,137,58,868,23,13,11,13,1112,1131,1930,31,1113,31,0,0,1800,12,656,0,Voronejskaa oblast_
1020,Voronejskaa oblast_,Kominternovskaa,11,170,76,885,22,11,11,17,1191,1203,2076,20,1191,20,0,0,2000,8,789,0,Voronejskaa oblast_
1021,Voronejskaa oblast_,Kominternovskaa,9,157,68,888,14,15,11,13,1159,1175,2024,24,1159,24,0,0,1900,8,717,0,Voronejskaa oblast_
1022,Voronejskaa oblast_,Kominternovskaa,3,169,81,943,14,12,6,11,1219,1239,2085,34,1219,34,0,0,1900,14,647,0,Voronejskaa oblast_
1023,Voronejskaa oblast_,Kominternovskaa,14,148,49,939,19,15,4,17,1169,1205,1934,45,1169,45,0,0,1800,9,586,0,Voronejskaa oblast_
1024,Voronejskaa oblast_,Kominternovskaa,20,128,54,884,21,6,9,20,1126,1142,2014,23,1126,23,0,0,1900,7,751,0,Voronejskaa oblast_
1025,Voronejskaa oblast_,Kominternovskaa,1,103,38,834,4,1,2,1,929,984,1946,64,929,64,0,0,1800,9,807,0,Voronejskaa oblast_
1026,Voronejskaa oblast_,Kominternovskaa,7,151,64,904,16,8,11,18,1151,1179,2270,40,1151,40,0,0,2100,12,909,0,Voronejskaa oblast_
1027,Voronejskaa oblast_,Kominternovskaa,10,138,53,815,16,8,15,12,1030,1067,2135,47,1030,47,0,0,2000,10,923,0,Voronejskaa oblast_
1028,Voronejskaa oblast_,Kominternovskaa,2,80,44,452,14,9,7,5,585,613,1203,34,586,34,0,0,1100,6,480,0,Voronejskaa oblast_
1029,Voronejskaa oblast_,Kominternovskaa,9,121,78,797,27,6,12,11,1050,1061,2285,34,1050,34,0,0,2000,23,916,0,Voronejskaa oblast_
1030,Voronejskaa oblast_,Kominternovskaa,11,73,50,610,14,9,6,12,730,785,1846,62,730,62,0,0,1800,7,1008,0,Voronejskaa oblast_
1031,Voronejskaa oblast_,Kominternovskaa,13,155,58,927,14,12,8,15,1087,1202,2019,126,1099,126,0,0,1900,11,675,0,Voronejskaa oblast_
1032,Voronejskaa oblast_,Kominternovskaa,8,102,62,748,11,9,13,9,927,962,1773,43,927,43,0,0,1700,8,730,0,Voronejskaa oblast_
1033,Voronejskaa oblast_,Kominternovskaa,16,323,97,1377,47,19,26,18,1895,1923,2987,47,1896,47,0,0,2800,19,857,0,Voronejskaa oblast_
1034,Voronejskaa oblast_,Kominternovskaa,7,115,61,830,20,9,16,8,1043,1066,2066,28,1067,28,0,0,2000,5,905,0,Voronejskaa oblast_
1035,Voronejskaa oblast_,Kominternovskaa,11,146,64,828,14,5,8,18,1064,1094,2345,41,1064,41,0,0,2100,11,995,0,Voronejskaa oblast_
1036,Voronejskaa oblast_,Kominternovskaa,8,103,54,639,15,1,9,12,822,841,1604,28,822,28,0,0,1400,9,550,0,Voronejskaa oblast_
1037,Voronejskaa oblast_,Kominternovskaa,10,136,61,897,29,10,12,6,1136,1161,2113,37,1136,37,0,0,2000,12,827,0,Voronejskaa oblast_
1038,Voronejskaa oblast_,Kominternovskaa,7,147,64,859,19,10,9,14,1096,1129,2171,46,1099,46,0,0,2100,13,955,0,Voronejskaa oblast_
1039,Voronejskaa oblast_,Kominternovskaa,11,70,30,433,8,7,5,3,540,567,1112,39,540,39,0,0,1000,12,421,0,Voronejskaa oblast_
1040,Voronejskaa oblast_,Kominternovskaa,5,85,19,465,9,7,5,3,573,598,1205,29,573,29,0,0,1100,4,498,0,Voronejskaa oblast_
1041,Voronejskaa oblast_,Kominternovskaa,5,157,55,909,19,11,14,11,1125,1181,2341,67,1125,67,0,0,2100,11,908,0,Voronejskaa oblast_
1042,Voronejskaa oblast_,Kominternovskaa,8,144,43,781,17,10,15,7,990,1025,1986,41,990,41,0,0,1900,6,869,0,Voronejskaa oblast_
1043,Voronejskaa oblast_,Kominternovskaa,7,189,59,1109,23,11,16,21,1381,1435,2599,64,1381,64,0,0,2500,10,1055,0,Voronejskaa oblast_
1044,Voronejskaa oblast_,Kominternovskaa,7,81,50,565,14,5,5,5,703,732,1691,36,703,36,0,0,1500,7,761,0,Voronejskaa oblast_
1045,Voronejskaa oblast_,Kominternovskaa,5,124,62,799,13,13,4,10,992,1030,2012,46,992,46,0,0,1900,8,862,0,Voronejskaa oblast_
1046,Voronejskaa oblast_,Kominternovskaa,15,282,112,1493,36,13,22,12,1719,1985,3118,293,1724,293,0,0,2800,27,783,0,Voronejskaa oblast_
1047,Voronejskaa oblast_,Kominternovskaa,10,118,31,729,18,3,13,14,910,936,1705,33,910,33,0,0,1600,7,657,0,Voronejskaa oblast_
1048,Voronejskaa oblast_,Kominternovskaa,15,139,55,851,19,19,20,9,1103,1127,1976,35,1103,35,0,0,1900,11,762,0,Voronejskaa oblast_
1049,Voronejskaa oblast_,Kominternovskaa,12,229,60,1180,36,10,32,26,1580,1585,2563,20,1580,20,0,0,2400,15,800,0,Voronejskaa oblast_
1050,Voronejskaa oblast_,Kominternovskaa,10,150,48,940,19,13,10,25,1173,1215,2159,53,1173,53,0,0,2100,11,874,0,Voronejskaa oblast_
1051,Voronejskaa oblast_,Kominternovskaa,12,108,42,566,7,4,7,8,719,754,1533,41,719,41,0,0,1500,6,740,0,Voronejskaa oblast_
1052,Voronejskaa oblast_,Kominternovskaa,4,131,23,631,17,12,12,9,816,839,1638,26,816,26,0,0,1500,3,658,0,Voronejskaa oblast_
1053,Voronejskaa oblast_,Kominternovskaa,6,116,23,429,19,4,10,12,617,619,1100,7,617,7,0,0,900,5,276,0,Voronejskaa oblast_
1054,Voronejskaa oblast_,Kominternovskaa,4,116,43,769,29,4,10,21,989,996,1695,15,989,15,0,0,1500,8,496,0,Voronejskaa oblast_
1055,Voronejskaa oblast_,Kominternovskaa,7,150,35,764,27,11,12,23,1027,1029,1796,13,1027,13,0,0,1700,11,660,0,Voronejskaa oblast_
1056,Voronejskaa oblast_,Kominternovskaa,4,142,67,939,24,15,8,22,1180,1221,2073,52,1180,52,0,0,2000,11,768,0,Voronejskaa oblast_
1057,Voronejskaa oblast_,Kominternovskaa,12,168,48,872,29,10,7,8,1109,1154,2093,56,1109,56,0,0,2000,11,835,0,Voronejskaa oblast_
1058,Voronejskaa oblast_,Kominternovskaa,18,223,96,1403,43,10,13,27,1823,1833,2830,29,1824,29,0,0,2650,19,797,0,Voronejskaa oblast_
1059,Voronejskaa oblast_,Kominternovskaa,6,114,49,710,13,4,7,13,886,916,1834,39,886,39,0,0,1800,9,875,0,Voronejskaa oblast_
1060,Voronejskaa oblast_,Kominternovskaa,9,107,55,856,19,8,8,17,1037,1079,2021,48,1037,48,0,0,1900,6,815,0,Voronejskaa oblast_
1061,Voronejskaa oblast_,Kominternovskaa,6,126,38,914,27,10,9,9,1105,1139,2099,48,1105,48,0,0,2100,14,947,0,Voronejskaa oblast_
