ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,5,135,115,735,3,5,3,0,945,1001,1962,66,945,66,0,0,2100,10,1089,0,Zabajkal_skij kraj
1002,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,0,3,33,0,0,0,0,36,36,52,0,36,0,0,0,55,0,19,0,Zabajkal_skij kraj
1003,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,7,30,168,0,1,0,1,188,207,287,20,188,20,0,0,300,1,92,0,Zabajkal_skij kraj
1004,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,18,14,181,0,1,0,0,165,214,340,50,165,50,0,0,350,1,135,0,Zabajkal_skij kraj
1005,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,6,11,91,0,0,0,0,92,108,203,16,92,16,0,0,215,0,107,0,Zabajkal_skij kraj
1006,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,12,5,80,0,0,0,0,90,97,149,7,90,7,0,0,155,0,58,0,Zabajkal_skij kraj
1007,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,3,16,68,0,0,0,0,79,87,124,9,79,9,0,0,130,1,42,0,Zabajkal_skij kraj
1008,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,3,3,51,0,1,0,0,41,58,98,17,41,17,0,0,100,0,42,0,Zabajkal_skij kraj
1009,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,1,5,18,79,0,2,0,0,82,105,125,24,82,24,0,0,120,1,14,0,Zabajkal_skij kraj
1010,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,1,4,11,44,0,0,0,0,50,60,99,10,50,10,0,0,105,0,45,0,Zabajkal_skij kraj
1011,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,13,11,77,1,0,0,0,90,102,188,12,90,12,0,0,185,0,83,0,Zabajkal_skij kraj
1012,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,1,3,10,78,1,0,0,0,85,93,153,9,85,9,0,0,160,1,66,0,Zabajkal_skij kraj
1013,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,2,12,50,1,0,0,0,62,65,98,5,62,5,0,0,110,2,43,0,Zabajkal_skij kraj
1014,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,1,14,34,143,1,1,0,0,161,194,380,35,161,18,17,0,400,2,204,0,Zabajkal_skij kraj
1015,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,4,10,131,0,0,0,2,123,147,256,24,123,24,0,0,270,0,123,0,Zabajkal_skij kraj
1016,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,3,11,57,0,0,0,0,57,71,112,14,57,14,0,0,115,0,44,0,Zabajkal_skij kraj
1017,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,10,4,75,1,0,0,0,77,90,116,13,77,13,0,0,120,0,30,0,Zabajkal_skij kraj
1018,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,3,56,29,203,2,0,1,1,205,295,548,92,205,92,0,0,580,2,283,0,Zabajkal_skij kraj
1019,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,1,3,8,114,1,0,0,0,115,127,209,14,115,14,0,0,225,2,96,0,Zabajkal_skij kraj
1020,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,9,11,81,0,0,0,0,87,101,180,15,87,15,0,0,185,1,83,0,Zabajkal_skij kraj
1021,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,1,3,9,72,0,3,0,0,85,88,162,4,85,4,0,0,170,1,81,0,Zabajkal_skij kraj
1022,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,0,9,8,66,0,0,0,0,68,83,125,15,68,15,0,0,125,0,42,0,Zabajkal_skij kraj
1023,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,2,10,16,151,3,0,0,0,149,182,317,34,149,34,0,0,330,1,147,0,Zabajkal_skij kraj
1024,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,2,9,16,145,0,1,0,0,138,173,271,37,138,37,0,0,280,2,105,0,Zabajkal_skij kraj
1025,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,1,0,2,20,2,0,0,0,21,25,35,4,21,4,0,0,35,0,10,0,Zabajkal_skij kraj
1026,Zabajkal_skij kraj,Aleksandrovo-Zavodskaa,2,6,1,54,0,1,0,0,57,64,81,7,57,7,0,0,80,0,16,0,Zabajkal_skij kraj
1101,Zabajkal_skij kraj,Balejskaa,0,22,17,122,2,5,1,1,158,170,321,13,158,13,0,0,347,1,176,0,Zabajkal_skij kraj
1102,Zabajkal_skij kraj,Balejskaa,1,25,36,261,6,4,1,2,327,336,675,11,327,11,0,0,719,2,381,0,Zabajkal_skij kraj
1103,Zabajkal_skij kraj,Balejskaa,5,29,57,399,4,5,3,2,497,504,1170,11,497,11,0,0,1227,4,719,0,Zabajkal_skij kraj
