ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
199,gorod Sankt-Peterburg,?10,9,79,53,990,35,6,13,28,1198,1213,1830,32,1201,32,0,0,2000,17,767,0,gorod Sankt-Peterburg
200,gorod Sankt-Peterburg,?10,14,111,68,1006,37,9,15,30,1279,1290,2026,29,1279,29,0,0,2000,18,692,0,gorod Sankt-Peterburg
201,gorod Sankt-Peterburg,?10,8,98,68,781,34,10,9,21,1011,1029,1486,29,1011,29,0,0,1500,11,460,0,gorod Sankt-Peterburg
202,gorod Sankt-Peterburg,?10,7,85,55,850,34,12,11,14,1056,1068,1647,25,1056,25,0,0,1500,13,419,0,gorod Sankt-Peterburg
203,gorod Sankt-Peterburg,?10,4,46,22,427,24,2,8,11,547,544,719,2,547,2,0,0,800,5,251,0,gorod Sankt-Peterburg
204,gorod Sankt-Peterburg,?10,7,101,52,871,43,9,13,26,1108,1122,1858,26,1108,26,0,0,1500,12,366,0,gorod Sankt-Peterburg
205,gorod Sankt-Peterburg,?10,12,123,50,985,48,10,17,45,1239,1290,1857,66,1239,66,0,0,2000,15,693,2,gorod Sankt-Peterburg
206,gorod Sankt-Peterburg,?10,10,99,67,852,47,13,23,41,1144,1152,1708,27,1144,27,0,0,2000,19,829,0,gorod Sankt-Peterburg
207,gorod Sankt-Peterburg,?10,7,73,29,656,44,6,15,36,861,866,1336,21,861,21,0,0,1000,16,118,0,gorod Sankt-Peterburg
208,gorod Sankt-Peterburg,?10,11,131,52,1116,69,11,28,57,1455,1475,2515,33,1455,33,0,0,2000,13,512,0,gorod Sankt-Peterburg
209,gorod Sankt-Peterburg,?10,17,97,46,969,42,8,13,41,1209,1233,1834,44,1211,44,0,0,2000,20,745,0,gorod Sankt-Peterburg
210,gorod Sankt-Peterburg,?10,14,118,75,1031,62,15,27,42,1350,1384,1934,48,1350,48,0,0,2000,14,602,0,gorod Sankt-Peterburg
211,gorod Sankt-Peterburg,?10,13,121,61,1088,65,4,30,47,1394,1429,2200,45,1394,45,0,0,2000,10,561,0,gorod Sankt-Peterburg
212,gorod Sankt-Peterburg,?10,23,125,52,1081,63,3,20,62,1406,1429,2061,45,1410,45,0,0,2000,22,545,0,gorod Sankt-Peterburg
213,gorod Sankt-Peterburg,?10,12,115,68,1136,69,15,19,44,1453,1478,2040,44,1453,44,0,0,2000,19,503,0,gorod Sankt-Peterburg
214,gorod Sankt-Peterburg,?10,17,130,60,1113,62,8,20,56,1432,1466,2077,47,1432,47,0,0,2000,13,510,11,gorod Sankt-Peterburg
