ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1,gorod Sevastopol_,Balaklavskaa,2,43,42,1012,17,4,5,3,1125,1128,1511,15,1125,15,0,0,1300,12,160,0,gorod Sevastopol_
2,gorod Sevastopol_,Balaklavskaa,1,28,27,828,10,4,1,2,886,901,1168,22,886,22,0,0,1100,7,192,0,gorod Sevastopol_
3,gorod Sevastopol_,Balaklavskaa,4,58,41,1427,18,0,3,4,1433,1555,2130,136,1434,136,0,0,1600,14,29,1,gorod Sevastopol_
4,gorod Sevastopol_,Balaklavskaa,4,38,42,1515,10,1,3,1,1577,1614,2238,54,1577,54,0,0,1800,17,169,0,gorod Sevastopol_
5,gorod Sevastopol_,Balaklavskaa,3,34,37,1079,15,3,1,3,1139,1175,1619,45,1139,45,0,0,1300,9,116,0,gorod Sevastopol_
6,gorod Sevastopol_,Balaklavskaa,0,39,36,1276,11,1,2,0,1340,1365,1831,37,1340,37,0,0,1400,12,23,0,gorod Sevastopol_
7,gorod Sevastopol_,Balaklavskaa,0,32,29,764,4,0,3,2,817,834,1167,24,817,24,0,0,950,7,109,0,gorod Sevastopol_
8,gorod Sevastopol_,Balaklavskaa,2,10,11,482,2,0,2,0,473,509,697,37,473,37,0,0,650,1,140,0,gorod Sevastopol_
9,gorod Sevastopol_,Balaklavskaa,8,41,38,1076,18,1,4,6,1160,1192,1551,44,1160,44,0,0,1300,12,96,0,gorod Sevastopol_
10,gorod Sevastopol_,Balaklavskaa,2,10,10,401,4,3,0,0,420,430,824,14,421,14,0,0,750,4,315,0,gorod Sevastopol_
11,gorod Sevastopol_,Balaklavskaa,0,13,13,411,2,2,0,1,429,442,446,17,429,17,0,0,650,4,204,0,gorod Sevastopol_
12,gorod Sevastopol_,Balaklavskaa,2,10,21,606,8,0,4,0,630,651,944,28,630,28,0,0,700,7,42,0,gorod Sevastopol_
13,gorod Sevastopol_,Balaklavskaa,3,81,55,1587,36,1,8,7,1784,1778,2444,14,1785,14,0,0,1900,20,101,0,gorod Sevastopol_
14,gorod Sevastopol_,Balaklavskaa,4,45,29,1112,14,0,3,2,1169,1209,1676,54,1169,54,0,0,1350,14,127,0,gorod Sevastopol_
15,gorod Sevastopol_,Balaklavskaa,0,19,17,764,14,2,1,5,795,822,1238,33,795,33,0,0,1000,6,172,0,gorod Sevastopol_
16,gorod Sevastopol_,Balaklavskaa,1,25,26,659,5,1,1,2,681,720,1058,51,681,51,0,0,850,12,118,0,gorod Sevastopol_
17,gorod Sevastopol_,Balaklavskaa,1,20,21,785,5,3,3,4,791,842,1309,62,791,62,0,0,1000,11,147,0,gorod Sevastopol_
18,gorod Sevastopol_,Balaklavskaa,1,19,13,753,9,0,0,1,770,796,1182,33,770,33,0,0,1000,7,197,0,gorod Sevastopol_
19,gorod Sevastopol_,Balaklavskaa,1,38,50,1147,8,2,2,1,1227,1249,1814,34,1227,34,0,0,1400,12,139,0,gorod Sevastopol_
20,gorod Sevastopol_,Balaklavskaa,0,33,28,1061,10,4,4,2,1116,1142,1582,38,1116,38,0,0,1300,12,146,0,gorod Sevastopol_
21,gorod Sevastopol_,Balaklavskaa,1,28,34,1010,10,3,2,0,1055,1088,1510,38,1055,38,0,0,1250,5,157,0,gorod Sevastopol_
22,gorod Sevastopol_,Balaklavskaa,0,20,26,526,1,1,2,1,569,577,877,16,569,16,0,0,750,8,165,0,gorod Sevastopol_
23,gorod Sevastopol_,Balaklavskaa,3,11,19,498,9,2,0,1,513,543,823,35,513,35,0,0,700,5,152,0,gorod Sevastopol_
24,gorod Sevastopol_,Balaklavskaa,6,41,29,1172,28,1,7,11,1255,1295,2092,56,1255,56,0,0,1650,16,339,0,gorod Sevastopol_
25,gorod Sevastopol_,Balaklavskaa,1,7,7,298,3,1,2,2,322,321,538,3,322,3,0,0,420,4,95,0,gorod Sevastopol_
26,gorod Sevastopol_,Balaklavskaa,1,21,12,392,15,1,1,4,427,447,699,23,427,23,0,0,650,3,200,0,gorod Sevastopol_
27,gorod Sevastopol_,Balaklavskaa,2,7,8,426,7,1,2,1,431,454,649,27,431,27,0,0,550,4,92,0,gorod Sevastopol_
28,gorod Sevastopol_,Balaklavskaa,4,17,9,447,3,1,3,4,469,488,739,21,469,21,0,0,610,2,120,0,gorod Sevastopol_
29,gorod Sevastopol_,Balaklavskaa,1,12,10,358,8,1,1,4,379,395,543,19,379,19,0,0,420,3,22,0,gorod Sevastopol_
30,gorod Sevastopol_,Balaklavskaa,1,42,24,1098,15,1,2,3,1154,1186,1739,46,1154,46,0,0,1450,14,250,0,gorod Sevastopol_
31,gorod Sevastopol_,Balaklavskaa,2,14,9,353,7,2,0,7,370,394,563,25,370,25,0,0,470,1,75,0,gorod Sevastopol_
32,gorod Sevastopol_,Balaklavskaa,0,23,21,1105,9,1,1,3,1107,1163,1589,59,1107,59,0,0,1320,3,154,0,gorod Sevastopol_
36,gorod Sevastopol_,Gagarinskaa,2,77,38,1729,26,5,20,3,1829,1900,2668,88,1829,88,0,0,2200,17,283,0,gorod Sevastopol_
37,gorod Sevastopol_,Gagarinskaa,5,87,134,2202,42,7,10,2,2486,2489,3342,31,2486,31,0,0,2600,28,83,0,gorod Sevastopol_
38,gorod Sevastopol_,Gagarinskaa,3,88,79,2008,20,8,9,8,2216,2223,3210,22,2216,22,0,0,2500,15,262,0,gorod Sevastopol_
39,gorod Sevastopol_,Gagarinskaa,5,70,43,1646,13,5,7,4,1795,1793,2720,25,1798,25,0,0,2300,27,477,0,gorod Sevastopol_
40,gorod Sevastopol_,Gagarinskaa,2,51,55,1393,18,1,5,6,1516,1531,2307,37,1516,37,0,0,2000,22,447,0,gorod Sevastopol_
41,gorod Sevastopol_,Gagarinskaa,4,64,50,1410,17,9,6,3,1546,1563,2473,32,1546,32,0,0,2200,15,622,0,gorod Sevastopol_
42,gorod Sevastopol_,Gagarinskaa,2,73,38,1150,21,5,8,1,1273,1298,1812,34,1274,34,0,0,1500,9,192,0,gorod Sevastopol_
43,gorod Sevastopol_,Gagarinskaa,8,53,36,1476,23,4,2,2,1574,1604,2211,46,1574,46,0,0,2000,16,380,0,gorod Sevastopol_
44,gorod Sevastopol_,Gagarinskaa,1,43,20,1241,26,3,5,5,1315,1344,1869,37,1315,37,0,0,1400,8,48,0,gorod Sevastopol_
45,gorod Sevastopol_,Gagarinskaa,2,37,26,1191,13,3,2,1,1268,1275,1909,21,1271,22,0,0,1500,14,207,0,gorod Sevastopol_
